ABA4046,SEKOLAH KEBANGSAAN JENALIK,33500
ABA4047,SEKOLAH KEBANGSAAN CHENEIN,31110
ABA4048,SEKOLAH KEBANGSAAN PERLOP 1,31100
ABA4049,SEKOLAH KEBANGSAAN POS POI,31100
ABA4050,SEKOLAH KEBANGSAAN POS PERWOR,31100
ABA4051,SEKOLAH KEBANGSAAN POS LEGAP,31100
ABA4052,SEKOLAH KEBANGSAAN POS PIAH,31100
ABA4053,SEKOLAH KEBANGSAAN KAMPUNG KENANG,31100
ABA4054,SEKOLAH KEBANGSAAN POS KUALA MU,31100
ABA4055,SEKOLAH KEBANGSAAN POS SUNGAI PELANTOK,31100
ABA4056,SEKOLAH KEBANGSAAN RAJA MUDA MUSA,33000
ABA4057,SEKOLAH KEBANGSAAN KAMPUNG MUHIBAH,31100
ABA4058,SEKOLAH KEBANGSAAN KAMPUNG NASIB,33600
ABA5001,SEKOLAH KEBANGSAAN KUMPULAN GANDA,36000
ABA5002,SEKOLAH KEBANGSAAN SULTAN IDRIS 2,36000
ABA5003,SEKOLAH KEBANGSAAN SERI INTAN,36000
ABA5004,SEKOLAH KEBANGSAAN SELABAK,36000
ABA5005,SEKOLAH KEBANGSAAN CHANGKAT JONG,36000
ABA5006,SEKOLAH KEBANGSAAN AYER HITAM,36030
ABA5007,SEKOLAH KEBANGSAAN TEBOK BANJAR,36000
ABA5008,SEKOLAH KEBANGSAAN SUNGAI DURIAN,36000
ABA5009,SEKOLAH KEBANGSAAN DATO' LAKSAMANA RAJA MAHKOTA,36000
ABA5012,SEKOLAH KEBANGSAAN TELUK BIRAH,36000
ABA5014,SEKOLAH KEBANGSAAN SUNGAI RUSA,36000
ABA5015,SEKOLAH KEBANGSAAN SUNGAI JEJAWI,36000
ABA5060,SEKOLAH KEBANGSAAN DATO' YAHYA SUBBAN,36600
ABA5061,SEKOLAH KEBANGSAAN SUNGAI TUNGKU,36000
ABA5062,SEKOLAH KEBANGSAAN CHIKUS,36750
ABA5063,SEKOLAH KEBANGSAAN PERMATANG,36000
ABA5064,SEKOLAH KEBANGSAAN SG LAMPAM,36750
ABA5065,SEKOLAH KEBANGSAAN SUNGAI TUKANG SIDIN,36700
ABA5066,SEKOLAH KEBANGSAAN SERI LANGKAP,36700
ABA5067,SEKOLAH KEBANGSAAN PEKAN RABU,36000
ABA5068,SEKOLAH KEBANGSAAN PERMATANG PELANDOK,36600
ABA5069,SEKOLAH KEBANGSAAN DEGONG,36700
ABA5070,SEKOLAH KEBANGSAAN PENGKALAN ARA,36600
ABA5071,SEKOLAH KEBANGSAAN SUNGAI KERAWAI,36000
ABA5072,SEKOLAH KEBANGSAAN KAMPUNG BAHARU REDANG PONGGOR,36700
ABA5073,SEKOLAH KEBANGSAAN KAMPUNG BAHAGIA,36000
ABA5074,SEKOLAH KEBANGSAAN SERI SETIA,36000
ABA5075,SEKOLAH KEBANGSAAN RAJA MUDA MUSA,36000
ABA5077,SEKOLAH KEBANGSAAN PERWIRA,36000
ABA5078,SEKOLAH KEBANGSAAN ST.ANTHONY,36700
ABA6001,SEKOLAH KEBANGSAAN LONG JAAFAR,34600
ABA6002,SEKOLAH KEBANGSAAN ASAM KUMBANG,34000
ABA6003,SEKOLAH KEBANGSAAN LAKSAMANA,34650
ABA6004,SEKOLAH KEBANGSAAN MATANG,34750
ABA6005,SEKOLAH KEBANGSAAN NGAH IBRAHIM,34750
ABA6006,SEKOLAH KEBANGSAAN MATANG GELUGUR,34750
ABA6007,SEKOLAH KEBANGSAAN SIMPANG,34700
ABA6008,SEKOLAH KEBANGSAAN SULTAN YUSSUF AMDR,34000
ABA6009,SEKOLAH KEBANGSAAN TAIPING,34000
ABA6010,SEKOLAH KEBANGSAAN SERI AMAN,34000
ABA6011,SEKOLAH KEBANGSAAN CHANGKAT LARUT,34850
ABA6012,SEKOLAH KEBANGSAAN BENDANG SIAM,34850
ABA6013,SEKOLAH KEBANGSAAN TOH JOHAN,34800
ABA6014,SEKOLAH KEBANGSAAN TEMELOK,34800
ABA6015,SEKOLAH KEBANGSAAN PADANG GAJAH,34800
ABA6016,SEKOLAH KEBANGSAAN SUNGAI TINGGI,34800
ABA6017,SEKOLAH KEBANGSAAN BATU HAMPAR,32700
ABA6018,SEKOLAH KEBANGSAAN CHANGKAT JERING,34850
ABA6019,SEKOLAH KEBANGSAAN JELUTONG,34850
ABA6020,SEKOLAH KEBANGSAAN DATO' PANGLIMA BKT GANTANG,34850
ABA6021,SEKOLAH KEBANGSAAN CHANGKAT IBUL,34850
ABA6022,SEKOLAH KEBANGSAAN SULTAN ABDULLAH,34850
ABA6023,SEKOLAH KEBANGSAAN TOH SAJAK,34500
ABA6024,SEKOLAH KEBANGSAAN KAMPONG PERAK,34500
ABA6025,SEKOLAH KEBANGSAAN KAMPUNG GUDANG,34520
ABA6026,SEKOLAH KEBANGSAAN KAMPUNG REPOH,34500
ABA6027,SEKOLAH KEBANGSAAN KAMPUNG YAMAN,34520
ABA6028,SEKOLAH KEBANGSAAN KAMPUNG RELANG,34520
ABA6029,SEKOLAH KEBANGSAAN JELAI,34520
ABA6030,SEKOLAH KEBANGSAAN PANTAI BESAR,34520
ABA6031,SEKOLAH KEBANGSAAN PONDOK TANJONG,34010
ABA6032,SEKOLAH KEBANGSAAN ULU SEPETANG,34010
ABA6033,SEKOLAH KEBANGSAAN HAJI WAN JAAFAR,34510
ABA6034,SEKOLAH KEBANGSAAN SUNGAI JERNIH,34510
ABA6035,SEKOLAH KEBANGSAAN SRI KURAU,34500
ABA6036,SEKOLAH KEBANGSAAN SRI SELAMA,34100
ABA6037,SEKOLAH KEBANGSAAN TEBING TINGGI,34130
ABA6038,SEKOLAH KEBANGSAAN SUNGAI DENDANG,34130
ABA6039,SEKOLAH KEBANGSAAN BAGAN BAHARU,34510
ABA6040,SEKOLAH KEBANGSAAN RANTAU PANJANG,34140
ABA6041,SEKOLAH KEBANGSAAN ULU MENGKUANG,34140
ABA6042,SEKOLAH KEBANGSAAN BANGGOL JAS,34140
ABA6043,SEKOLAH KEBANGSAAN SUNGAI BAYOR,34140
ABA6044,SEKOLAH KEBANGSAAN TOH RAKNA SAKTI,34140
ABA6045,SEKOLAH KEBANGSAAN SUNGAI SIPUTEH,34140
ABA6046,SEKOLAH KEBANGSAAN SULTAN IDRIS II,34120
ABA6047,SEKOLAH KEBANGSAAN BUKIT BERTAM,34140
ABA6049,SEKOLAH KEBANGSAAN SUNGAI ARA,34520
ABA6050,SEKOLAH KEBANGSAAN (RTBK) PONDOK TANJONG,34130
ABA6051,SEKOLAH KEBANGSAAN KAMUNTING,34600
ABA6052,SEKOLAH KEBANGSAAN PENDIDIKAN KHAS TAIPING,34000
ABA6053,SEKOLAH KEBANGSAAN PENGKALAN AUR,34000
ABA6054,SEKOLAH KEBANGSAAN AYER PUTEH,34700
ABA6055,SEKOLAH KEBANGSAAN BUKIT JANA,34600
ABA6056,SEKOLAH KEBANGSAAN KAMPUNG JAMBU,34000
ABA6057,SEKOLAH KEBANGSAAN PERMATANG RAJA,34900
ABA6058,SEKOLAH KEBANGSAAN TAMAN PANGLIMA,34000
ABA6059,SEKOLAH KEBANGSAAN TAMAN JANA,34600
ABA6060,SEKOLAH KEBANGSAAN KAMPUNG BOYAN,34000
ABA6061,SEKOLAH KEBANGSAAN TAMAN PALMA,34600
ABA7001,SEKOLAH KEBANGSAAN KEROH,33100
ABA7002,SEKOLAH KEBANGSAAN KUAK HULU,33100
ABA7003,SEKOLAH KEBANGSAAN KUAK LUAR,33100
ABA7004,SEKOLAH KEBANGSAAN BEKUAI,33100
ABA7005,SEKOLAH KEBANGSAAN TASEK,33100
ABA7006,SEKOLAH KEBANGSAAN KLIAN INTAN,33200
ABA7007,SEKOLAH KEBANGSAAN AYER PANAS,33100
ABA7008,SEKOLAH KEBANGSAAN LENGGONG,33400
ABA7009,SEKOLAH KEBANGSAAN GELOK,33400
ABA7010,SEKOLAH KEBANGSAAN SUMPITAN,33420
ABA7011,SEKOLAH KEBANGSAAN BUKIT SAPI,33400
ABA7012,SEKOLAH KEBANGSAAN TEMELONG,33400
ABA7013,SEKOLAH KEBANGSAAN CHEPOR,33400
ABA7014,SEKOLAH KEBANGSAAN BANGGOL BELIMBING,33400
ABA7015,SEKOLAH KEBANGSAAN LUBOK KAWAH,33400
ABA7016,SEKOLAH KEBANGSAAN LUAT,33400
ABA7017,SEKOLAH KEBANGSAAN BENG,33400
ABA7018,SEKOLAH KEBANGSAAN RABAN,33400
ABA7019,SEKOLAH KEBANGSAAN SRI ADIKA RAJA,33300
ABA7020,SEKOLAH KEBANGSAAN TAN SRI GHAZALI JAWI,33320
ABA7021,SEKOLAH KEBANGSAAN SERI TAWAI,33300
ABA7022,SEKOLAH KEBANGSAAN KENAYAT,33300
ABA7023,SEKOLAH KEBANGSAAN KENERING,33300
ABA7024,SEKOLAH KEBANGSAAN KERUNAI,33310
ABA7025,SEKOLAH KEBANGSAAN PLANG,33320
ABA7026,SEKOLAH KEBANGSAAN KAMPONG LALANG,33320
ABA7027,SEKOLAH KEBANGSAAN RKT BERSIA,33320
ABA7028,SEKOLAH KEBANGSAAN BASIA LAMA,33320
ABA7029,SEKOLAH KEBANGSAAN BONGOR,33320
ABA7030,SEKOLAH KEBANGSAAN GANDA TEMENGOR,33300
ABA7031,SEKOLAH KEBANGSAAN (FELDA) PAPULUT,33300
ABA7032,SEKOLAH KEBANGSAAN (FELDA) LAWIN UTARA,33300
ABA7033,SEKOLAH KEBANGSAAN (FELDA) LAWIN SELATAN,33300
ABA7034,SEKOLAH KEBANGSAAN PAHIT,33320
ABA7035,SEKOLAH KEBANGSAAN (FELDA) LEPANG NENERING,33100
ABA7036,SEKOLAH KEBANGSAAN RPS POS KEMAR,33300
ABA7037,SEKOLAH KEBANGSAAN RPS BANUN,33300
ABA7038,SEKOLAH KEBANGSAAN RPS DALA,33300
ABA7039,SEKOLAH KEBANGSAAN SUNGAI TIANG,33300
ABA7040,SEKOLAH KEBANGSAAN BATU 4,33300
ABA8201,SEKOLAH KEBANGSAAN SUNGAI GALAH,31800
ABA8202,SEKOLAH KEBANGSAAN BALUN BIDAI,36800
ABA8203,SEKOLAH KEBANGSAAN TEPUS,32800
ABA8204,SEKOLAH KEBANGSAAN TANJONG BELANJA,32800
ABA8205,SEKOLAH KEBANGSAAN SIMPANG TIGA,32800
ABA8206,SEKOLAH KEBANGSAAN BELANJA,32800
ABA8207,SEKOLAH KEBANGSAAN PASIR GAJAH,32800
ABA8208,SEKOLAH KEBANGSAAN LAYANG-LAYANG KIRI,32800
ABA8209,SEKOLAH KEBANGSAAN PULAU PADANG,32600
ABA8210,SEKOLAH KEBANGSAAN BOTA KIRI,32600
ABA8211,SEKOLAH KEBANGSAAN SERIKAYA,32600
ABA8212,SEKOLAH KEBANGSAAN BAKONG,32900
ABA8213,SEKOLAH KEBANGSAAN LAMBOR KIRI,32900
ABA8214,SEKOLAH KEBANGSAAN CHANGKAT BANJAR,32800
ABA8215,SEKOLAH KEBANGSAAN TELUK KEPAYANG,32600
ABA8216,SEKOLAH KEBANGSAAN PARIT,32800
ABA8217,SEKOLAH KEBANGSAAN LENGKUAS,32800
ABA8218,SEKOLAH KEBANGSAAN TELOK PERANG,32800
ABA8219,SEKOLAH KEBANGSAAN CHOPIN,32800
ABA8220,SEKOLAH KEBANGSAAN BUKIT CHUPAK,32800
ABA8221,SEKOLAH KEBANGSAAN LAYANG-LAYANG KANAN,32800
ABA8222,SEKOLAH KEBANGSAAN CIKGU MIOR SHAHARUDDIN,32600
ABA8223,SEKOLAH KEBANGSAAN BOTA KANAN,32600
ABA8224,SEKOLAH KEBANGSAAN PADANG CHANGKAT,32600
ABA8225,SEKOLAH KEBANGSAAN LAMBOR KANAN,32900
ABA8226,SEKOLAH KEBANGSAAN TELOK BAKONG,32900
ABA8227,SEKOLAH KEBANGSAAN SUNGAI RANGGAM,36810
ABA8228,SEKOLAH KEBANGSAAN DATO' SAGOR,36800
ABA8229,SEKOLAH KEBANGSAAN SELAT PULAU,36800
ABA8230,SEKOLAH KEBANGSAAN TANJONG BIDARA,36800
ABA8231,SEKOLAH KEBANGSAAN RAJA CHULAN,36800
ABA8232,SEKOLAH KEBANGSAAN PULAU TIGA KIRI,36800
ABA8233,SEKOLAH KEBANGSAAN TOH PADUKA RAJA,36800
ABA8234,SEKOLAH KEBANGSAAN TOK PELITA,36800
ABA8235,SEKOLAH KEBANGSAAN PULAU JUAR,36800
ABA8236,SEKOLAH KEBANGSAAN BANDAR TUA,36800
ABA8237,SEKOLAH KEBANGSAAN PASIR PANJANG ULU,36800
ABA8238,SEKOLAH KEBANGSAAN SUAK PADI,32600
ABA8239,SEKOLAH KEBANGSAAN PASIR KUBU,36800
ABA8241,SEKOLAH KEBANGSAAN BANDAR,36800
ABA8242,SEKOLAH KEBANGSAAN SUNGAI BESAR,36810
ABA8243,SEKOLAH KEBANGSAAN KOTA SETIA,36000
